股票代码,股票名称
sh.688396,华润微
sh.688472,阿特斯
sh.688506,百利天恒
sh.688981,中芯国际
sz.000001,平安银行
sz.000002,万科A
sz.000063,中兴通讯
sz.000100,TCL科技
sz.000157,中联重科
sz.000166,申万宏源
sz.000301,东方盛虹
sz.000333,美的集团
sz.000338,潍柴动力
sz.000408,藏格矿业
sz.000425,徐工机械
sz.000538,云南白药
sz.000568,泸州老窖
sz.000596,古井贡酒
sz.000617,中油资本
sz.000625,长安汽车
sz.000630,铜陵有色
sz.000651,格力电器
sz.000661,长春高新
sz.000708,中信特钢
sz.000725,京东方A
sz.000768,中航西飞
sz.000776,广发证券
sz.000786,北新建材
sz.000792,盐湖股份
sz.000807,云铝股份
sz.000858,五粮液
sz.000876,新希望
sz.000895,双汇发展
sz.000938,紫光股份
sz.000963,华东医药
sz.000975,山金国际
sz.000977,浪潮信息
sz.000983,山西焦煤
sz.000999,华润三九
sz.001391,国货航
sz.001965,招商公路
sz.001979,招商蛇口
sz.002001,新和成
sz.002027,分众传媒
sz.002028,思源电气
sz.002049,紫光国微
sz.002050,三花智控
sz.002074,国轩高科
sz.002142,宁波银行
sz.002179,中航光电
sz.002230,科大讯飞
sz.002236,大华股份
sz.002241,歌尔股份
sz.002252,上海莱士
sz.002304,洋河股份
sz.002311,海大集团
sz.002352,顺丰控股
sz.002371,北方华创
sz.002384,东山精密
sz.002415,海康威视
sz.002422,科伦药业
sz.002459,晶澳科技
sz.002460,赣锋锂业
sz.002463,沪电股份
sz.002466,天齐锂业
sz.002475,立讯精密
sz.002493,荣盛石化
sz.002594,比亚迪
sz.002600,领益智造
sz.002601,龙佰集团
sz.002625,光启技术
sz.002648,卫星化学
sz.002709,天赐材料
sz.002714,牧原股份
sz.002736,国信证券
sz.002916,深南电路
sz.002920,德赛西威
sz.002938,鹏鼎控股
sz.003816,中国广核
sz.300014,亿纬锂能
sz.300015,爱尔眼科
sz.300033,同花顺
sz.300059,东方财富
sz.300122,智飞生物
sz.300124,汇川技术
sz.300251,光线传媒
sz.300274,阳光电源
sz.300308,中际旭创
sz.300316,晶盛机电
sz.300347,泰格医药
sz.300394,天孚通信
sz.300408,三环集团
sz.300413,芒果超媒
sz.300418,昆仑万维
sz.300433,蓝思科技
sz.300442,润泽科技
sz.300476,胜宏科技
sz.300498,温氏股份
sz.300502,新易盛
sz.300628,亿联网络
sz.300661,圣邦股份
sz.300750,宁德时代
sz.300759,康龙化成
sz.300760,迈瑞医疗
sz.300782,卓胜微
sz.300803,指南针
sz.300832,新产业
sz.300866,安克创新
sz.300896,爱美客
sz.300979,华利集团
sz.300999,金龙鱼
sz.301236,软通动力
sz.301269,华大九天
sz.302132,中航成飞
